package,import_name,layer,framework,down_pkgs,gh_downstream,woc_downstream,comb_downstream
high-order-layers,,2,tensorflow,0,0,0,0
nlp-nn,nlp_nn,3,tensorflow,1,0,3,3
vk-facenet,vk_facenet,2,tensorflow,0,0,0,0
panoptes-he,panoptes,2,tensorflow,0,0,17,17
panoptes-he,panoptes,3,tensorflow,0,0,17,17
convoxxx,,3,tensorflow,0,0,0,0
convoxxx,,2,tensorflow,0,0,0,0
medicalai,medicalai,2,tensorflow,0,0,1,1
program-synthesis,program_synthesis,2,tensorflow,0,0,21,21
SiPANN,SiPANN,2,tensorflow,1,3,3,6
SiPANN,SiPANN,4,tensorflow,1,3,3,6
unlockGNN,,2,tensorflow,0,0,0,0
ikfs-anomaly-detector,ikfs_anomaly_detector,2,tensorflow,0,0,1,1
cressp2,,2,tensorflow,0,0,0,0
cell-tracking-bc,cell_tracking_BC,2,tensorflow,0,0,0,0
nobrainer,nobrainer,2,tensorflow,0,5,8,13
spleeter-without-multiprocessing,,2,tensorflow,0,0,0,0
stockDL,stockDL,2,tensorflow,0,1,0,1
deeplabcut,deeplabcut,2,tensorflow,4,28,143,165
datupapi,datupapi,2,tensorflow,0,0,0,0
monk-cuda92-test,,2,tensorflow,0,0,0,0
chatspace,,2,tensorflow,2,0,0,0
scaden,scaden,2,tensorflow,0,0,3,3
markovflow,,3,tensorflow,0,0,0,0
markovflow,,2,tensorflow,0,0,0,0
mimir-visualizer,mimir_visualizer,2,tensorflow,0,0,2,2
pyrlprob,pyrlprob,2,tensorflow,0,0,0,0
leap-model-rebuilder,,2,tensorflow,0,0,0,0
naszilla,naszilla,2,tensorflow,0,0,1,1
tensiometer,tensiometer,2,tensorflow,0,0,2,2
any-face,anony_face,2,tensorflow,0,0,0,0
tf-reader,tf_reader,2,tensorflow,0,0,5,5
pathmind,pathmind,2,tensorflow,0,2,0,2
fancyimpute,fancyimpute,2,tensorflow,5,806,696,1451
opennsfw2,opennsfw2,2,tensorflow,0,0,0,0
mieszkaivision,mieszkaivision,2,tensorflow,0,0,0,0
hexcapsnet,capsnet,2,tensorflow,0,0,81,81
deeplookup,deeplookup,3,tensorflow,0,0,1,1
deeplookup,deeplookup,2,tensorflow,0,0,1,1
libspn-keras,,2,tensorflow,0,0,0,0
maui-tools,maui,2,tensorflow,0,0,17,17
mplc,mplc,2,tensorflow,0,0,1,1
vesper,vesper,2,tensorflow,0,2,6,8
melusine,melusine,2,tensorflow,0,0,2,2
scArchest,scarchest,3,tensorflow,0,0,1,1
NICEx,nice,2,tensorflow,0,1,340,341
triplet-tools,triplet_tools,2,tensorflow,0,0,1,1
image-caption-generator-elizastarr,,2,tensorflow,0,0,0,0
tf-fits,tf_fits,2,tensorflow,0,2,1,2
cctv-analysis,,2,tensorflow,0,0,0,0
DLPipeline,dlpipeline,2,tensorflow,0,0,2,2
